Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Romania,ROU,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Rwanda,RWA,..,..,4,4.1,4.1,4.2,4.3,4.3,4.3,4.2,4.2,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Samoa,WSM,..,..,3.9,3.9,3.9,3.8,3.8,3.9,3.9,3.9,3.9,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Sao Tome and Principe,STP,..,..,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Senegal,SEN,..,..,3.5,3.5,3.5,3.5,3.5,3.5,3.7,3.7,3.7,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Sierra Leone,SLE,..,..,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.1,3.1,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Slovak Republic,SVK,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Slovenia,SVN,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Solomon Islands,SLB,..,..,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Somalia,SOM,..,..,..,..,..,..,..,..,2,..,2.4,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,South Africa,ZAF,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,South Sudan,SSD,..,..,..,2.3,2.2,2.1,2.1,1.8,1.7,1.5,1.5,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Spain,ESP,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Sri Lanka,LKA,..,..,3.6,3.6,3.6,3.6,3.6,..,..,..,3.7,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,St. Lucia,LCA,..,..,3.6,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.9,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,St. Vincent and the Grenadines,VCT,..,..,3.7,3.6,3.6,3.5,3.6,3.6,3.6,3.6,3.7,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Sudan,SDN,..,..,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.5,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Suriname,SUR,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Tajikistan,TJK,..,..,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Tanzania,TZA,..,..,3.5,3.7,3.8,3.8,3.7,3.7,3.7,3.6,3.6,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Thailand,THA,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Timor-Leste,TLS,..,..,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Togo,TGO,..,..,3,3,3.1,3.2,3.3,3.4,3.4,3.4,3.6,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Tonga,TON,..,..,3.2,3.3,3.3,3.3,3.3,3.3,3.1,3.2,3.3,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Trinidad and Tobago,TTO,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Tunisia,TUN,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Turkey,TUR,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Tuvalu,TUV,..,..,..,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Uganda,UGA,..,..,3.7,3.7,3.7,3.7,3.7,3.5,3.5,3.5,3.5,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Ukraine,UKR,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Uruguay,URY,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Uzbekistan,UZB,..,..,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.8,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Vanuatu,VUT,..,..,3,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.1,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Vietnam,VNM,..,..,4,4,4,4.1,4.1,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,"Yemen, Rep.",YEM,..,..,3,3,3,3,2.7,2.5,2.3,2.3,2.3,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Zambia,ZMB,..,..,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.1,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Zimbabwe,ZWE,..,..,2.4,2.4,2.5,3.1,3.3,3.4,3.5,3.7,3.7,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Africa Eastern and Southern,AFE,..,..,3.21666666666667,3.17368421052632,3.17894736842105,3.25555555555556,3.28333333333333,3.24444444444444,3.17894736842105,3.26111111111111,3.18947368421053,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Africa Western and Central,AFW,..,..,3.22,3.21,3.2,3.195,3.19,3.205,3.23,3.245,3.275,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Arab World,ARB,..,..,2.9,2.92,2.92,2.96,2.9,2.88,2.7,2.84,2.76666666666667,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Caribbean small states,CSS,..,..,3.64,3.6,3.6,3.56,3.54,3.5,3.52,3.56,3.6,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Early-demographic dividend,EAR,..,..,3.41666666666667,3.43666666666667,3.40645161290323,3.41666666666667,3.39666666666667,3.37241379310345,3.35172413793103,3.35862068965517,3.36896551724138,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,East Asia & Pacific,EAS,..,..,3.17692307692308,3.17857142857143,3.13333333333333,3.15333333333333,3.14666666666667,3.07857142857143,3.05,3.06428571428571,3.07142857142857,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,East Asia & Pacific (excluding high income),EAP,..,..,3.17692307692308,3.17857142857143,3.13333333333333,3.15333333333333,3.14666666666667,3.07857142857143,3.05,3.06428571428571,3.07142857142857,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,3.17692307692308,3.17857142857143,3.13333333333333,3.15333333333333,3.14666666666667,3.07857142857143,3.05,3.06428571428571,3.07142857142857,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Euro area,EMU,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Europe & Central Asia,ECS,..,..,3.7375,3.75,3.725,3.58,3.6,3.6,3.6,3.62,3.66,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Europe & Central Asia (excluding high income),ECA,..,..,3.7375,3.75,3.725,3.58,3.6,3.6,3.6,3.62,3.66,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,3.7375,3.75,3.725,3.58,3.6,3.6,3.6,3.62,3.66,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Fragile and conflict affected situations,FCS,..,..,2.9448275862069,2.93225806451613,2.90625,2.925,2.91875,2.89375,2.84848484848485,2.896875,2.89090909090909,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Heavily indebted poor countries (HIPC),HPC,..,..,3.21315789473684,3.22105263157895,3.21315789473684,3.22368421052632,3.22894736842105,3.20540540540541,3.18421052631579,3.23513513513514,3.21315789473684,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,High income,HIC,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,IBRD only,IBD,..,..,3.72,3.73,3.71,3.82,3.8,3.8,3.8,3.85,3.8,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,IDA & IBRD total,IBT,..,..,3.32820512820513,3.315,3.3,3.28815789473684,3.2828947368421,3.25068493150685,3.23108108108108,3.26164383561644,3.26666666666667,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,IDA blend,IDB,..,..,3.35,3.33571428571429,3.34285714285714,3.37142857142857,3.36428571428571,3.37142857142857,3.38571428571429,3.40714285714286,3.43571428571429,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,IDA only,IDX,..,..,3.25,3.23571428571429,3.21754385964912,3.22105263157895,3.21754385964912,3.20175438596491,3.17413793103448,3.20526315789474,3.19827586206896,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,IDA total,IDA,..,..,3.27058823529412,3.25571428571429,3.24225352112676,3.25070422535211,3.24647887323944,3.23521126760563,3.21527777777778,3.24507042253521,3.24444444444444,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Late-demographic dividend,LTE,..,..,3.77,3.76,3.75,3.675,3.6875,3.61666666666667,3.63333333333333,3.68333333333333,3.71428571428571,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Latin America & Caribbean,LCN,..,..,3.53333333333333,3.53333333333333,3.53333333333333,3.52222222222222,3.5,3.4375,3.45,3.4625,3.475,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Latin America & Caribbean (excluding high income),LAC,..,..,3.53333333333333,3.53333333333333,3.53333333333333,3.52222222222222,3.5,3.4375,3.45,3.4625,3.475,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,3.53333333333333,3.53333333333333,3.53333333333333,3.52222222222222,3.5,3.4375,3.45,3.4625,3.475,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Least developed countries: UN classification,LDC,..,..,3.19767441860465,3.16666666666667,3.14347826086957,3.16888888888889,3.16444444444445,3.14444444444445,3.11521739130435,3.14888888888889,3.13260869565217,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Low & middle income,LMY,..,..,3.32820512820513,3.315,3.3,3.28815789473684,3.28289473684211,3.25068493150685,3.23108108108108,3.26164383561644,3.26666666666667,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Low income,LIC,..,..,3.1695652173913,3.1125,3.08333333333333,3.09166666666667,3.09583333333333,3.05833333333333,3.012,3.07083333333333,3.06,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Lower middle income,LMC,..,..,3.32619047619048,3.35,3.33953488372093,3.36829268292683,3.36341463414634,3.33684210526316,3.33947368421053,3.34736842105263,3.35128205128205,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Middle East & North Africa,MEA,..,..,3.05,3.05,3,3,2.85,2.75,2.65,2.7,2.75,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Middle East & North Africa (excluding high income),MNA,..,..,3.05,3.05,3,3,2.85,2.75,2.65,2.7,2.75,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,3.05,3.05,3,3,2.85,2.75,2.65,2.7,2.75,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Middle income,MIC,..,..,3.39454545454545,3.40178571428571,3.39122807017544,3.37884615384615,3.36923076923077,3.34489795918367,3.34285714285714,3.35510204081633,3.37,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,North America,NAC,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,OECD members,OED,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Other small states,OSS,..,..,3.35,3.31,3.29,3.26,3.22,3.23,3.22,3.24,3.26,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Pacific island small states,PSS,..,..,3.01428571428571,3.025,3.0375,3.0375,3.0375,3.0375,3.0125,3.0125,3.025,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Post-demographic dividend,PST,..,..,3.6,3.6,3.6,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Pre-demographic dividend,PRE,..,..,3.12727272727273,3.1,3.09117647058824,3.10909090909091,3.11515151515152,3.10606060606061,3.08235294117647,3.13030303030303,3.11470588235294,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Small states,SST,..,..,3.30909090909091,3.27391304347826,3.2695652173913,3.24782608695652,3.22608695652174,3.22173913043478,3.21304347826087,3.2304347826087,3.25217391304348,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,South Asia,SAS,..,..,3.525,3.5375,3.5375,3.5,3.45714285714286,3.45,3.41666666666667,3.4,3.47142857142857,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,South Asia (IDA & IBRD),TSA,..,..,3.525,3.5375,3.5375,3.5,3.45714285714286,3.45,3.41666666666667,3.4,3.47142857142857,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Sub-Saharan Africa,SSF,..,..,3.21842105263158,3.19230769230769,3.18974358974359,3.22368421052632,3.23421052631579,3.22368421052632,3.2051282051282,3.25263157894737,3.23333333333333,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Sub-Saharan Africa (excluding high income),SSA,..,..,3.21842105263158,3.19230769230769,3.18974358974359,3.22368421052632,3.23421052631579,3.22368421052632,3.2051282051282,3.25263157894737,3.23333333333333,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,3.21842105263158,3.19230769230769,3.18974358974359,3.22368421052632,3.23421052631579,3.22368421052632,3.2051282051282,3.25263157894737,3.23333333333333,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Upper middle income,UMC,..,..,3.61538461538462,3.55714285714286,3.55,3.41818181818182,3.39090909090909,3.37272727272727,3.35454545454545,3.38181818181818,3.43636363636364,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,World,WLD,..,..,3.32820512820513,3.315,3.3,3.28815789473684,3.28289473684211,3.25068493150685,3.23108108108108,3.26164383561644,3.26666666666667,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 06/30/2021,,,,,,,,,,,,,,,
